Method,Name,Error,Occurrences
MQTT,publish:1:wearable/zone-20250616210353-114/UA10H-REAL-24654440/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone-20250616210233-510/equip-20250616210233-510/UA10H-REAL-24261273/reactive_power,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210244-152/equip-20250616210244-152/UA10H-REAL-24299677/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210313-260/equip-20250616210313-260/UA10H-REAL-24298948/humid,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210405-507/UA10H-REAL-24514900/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210253-137/UA10H-REAL-24860357/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210303-872/UA10H-REAL-24085102/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210250-470/UA10H-REAL-24231523/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:sensor/zone/zone-20250616210302-567/equip-20250616210302-567/UA10H-REAL-24567356/voc,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
MQTT,publish:1:wearable/zone-20250616210229-672/UA10H-REAL-24740038/heartRate,<MQTTErrorCode.MQTT_ERR_NO_CONN: 4>,1
